SYMBOL,EXPIRY_01,EXPIRY_02,EXPIRY_03,EXPIRY_04,EXPIRY_05,EXPIRY_06,EXPIRY_07,EXPIRY_08,EXPIRY_09,EXPIRY_10,EXPIRY_11,EXPIRY_12,EXPIRY_13,EXPIRY_14,TIMESTAMP,EXPIRY_15,EXPIRY_16,EXPIRY_17,EXPIRY_18,EXPIRY_19,EXPIRY_20,EXPIRY_21
NIFTY,50,50,50,100,100,100,100,100,100,100,100,100,100,100,7/3/2017,,,,,,,
BANKNIFTY,100,100,100,100,100,100,100,100,100,100,,,,,7/4/2017,,,,,,,
NIFTY,50,50,50,100,100,100,100,100,100,100,100,100,100,100,7/4/2017,,,,,,,
BANKNIFTY,100,100,100,100,100,100,100,100,100,100,,,,,7/5/2017,,,,,,,
NIFTY,50,50,50,100,100,100,100,100,100,100,100,100,100,100,7/5/2017,,,,,,,
BANKNIFTY,100,100,100,100,100,100,100,100,100,100,,,,,7/6/2017,,,,,,,
NIFTY,50,50,50,100,100,100,100,100,100,100,100,100,100,100,7/6/2017,,,,,,,
BANKNIFTY,100,100,100,100,100,100,100,100,100,100,,,,,7/7/2017,,,,,,,
NIFTY,50,50,50,100,100,100,100,100,100,100,100,100,100,100,7/7/2017,,,,,,,
BANKNIFTY,100,100,100,100,100,100,100,100,100,100,,,,,7/10/2017,,,,,,,
NIFTY,50,50,50,100,100,100,100,100,100,100,100,100,100,100,7/10/2017,,,,,,,
BANKNIFTY,100,100,100,100,100,100,100,100,100,100,,,,,7/11/2017,,,,,,,
NIFTY,50,50,50,100,100,100,100,100,100,100,100,100,100,100,7/11/2017,,,,,,,
BANKNIFTY,100,100,100,100,100,100,100,100,100,100,,,,,7/12/2017,,,,,,,
NIFTY,50,50,50,100,100,100,100,100,100,100,100,100,100,100,7/12/2017,,,,,,,
BANKNIFTY,100,100,100,100,100,100,100,100,100,100,,,,,7/13/2017,,,,,,,
